family,n,max_influence,variance,kkl_ratio
majority,3,0.49999999999999983,1.0,0.946394630357186
majority,5,0.375,1.0,0.807518546387612
majority,7,0.3125000000000002,1.0,0.7792032217987991
majority,9,0.27343750000000017,1.0,0.7763393452148798
majority,11,0.24609374999999936,1.0,0.7825075181183428
majority,13,0.22558593749999933,1.0,0.7925050563918347
majority,17,0.19638061523437536,1.0,0.8167586076362118
majority,19,0.18547058105468822,1.0,0.8295671310037
majority,23,0.16818809509277255,1.0,0.8551504820121035
majority,29,0.14944598078727547,1.0,0.8921264713011045
majority,35,0.13583375955931837,1.0,0.926870591634416
majority,41,0.1253706876195769,1.0,0.9594303868580133
majority,51,0.11227517265921928,1.0,1.0094507129520114
majority,61,0.10257817300857165,1.0,1.0550574401418635
majority,73,0.09370567529691892,1.0,1.1051224847498422
majority,89,0.08481349515712552,1.0,1.165644192963282
majority,107,0.07731484055872864,1.0,1.2271346809932597
majority,129,0.07038609217001227,1.0,1.2950380238935006
majority,157,0.06377959869768485,1.0,1.3727097460218196
majority,189,0.058114381535502184,1.0,1.4524287233943374
majority,227,0.053015813428261935,1.0,1.5376624405710564
majority,275,0.048158009367245395,1.0,1.6343307666111104
majority,333,0.04375664254898328,1.0,1.7389072709822313
majority,401,0.0398693019638,1.0,1.8488195373768352
majority,483,0.036323800859930554,1.0,1.9677695345444868
majority,585,0.03300256721850318,1.0,2.100292300570704
majority,705,0.03006072897636337,1.0,2.239904873905838
majority,851,0.027359166661641555,1.0,2.392131324110966
majority,1027,0.024903509785885514,1.0,2.556511487947746
majority,1241,0.022653831168960446,1.0,2.7354887905852787
majority,1497,0.02062536718112815,1.0,2.9272458151021237
majority,1807,0.01877245492532921,1.0,3.135283497805341
majority,2181,0.01708685013203947,1.0,3.3601279725272715
majority,2633,0.015550912138299322,1.0,3.603571501662575
majority,3179,0.014152362721889548,1.0,3.8670259068359787
majority,3837,0.012881678574404764,1.0,4.151518931131432
majority,4633,0.011722826738320006,1.0,4.459932349110518
majority,5593,0.010669327942832218,1.0,4.793284774908906
majority,6751,0.009711181925228126,1.0,5.153744144516821
majority,8149,0.008838961172276609,1.0,5.543906748350743
majority,9837,0.00804488356870901,1.0,5.966337728676085
majority,11875,0.0073220450290889146,1.0,6.423729162995958
majority,14335,0.0066642117330244655,1.0,6.918933571225947
majority,17303,0.006065765720364391,1.0,7.454927408951809
majority,20889,0.005520601946335771,1.0,8.035971511538852
majority,25215,0.005024754885943137,1.0,8.664973409788917
majority,30439,0.0045732868041443945,1.0,9.346696929242682
majority,36743,0.004162514027302011,1.0,10.085157888585977
majority,44355,0.0037885342475231717,1.0,10.885697633624638
majority,53543,0.0034481864332869994,1.0,11.753337354297765
majority,64635,0.003138396890022512,1.0,12.693987974035283
majority,78023,0.0028564730473171433,1.0,13.713753356630368
majority,94187,0.002599834676949545,1.0,14.819770448337998
majority,113697,0.0023662820734747076,1.0,16.01916174329805
majority,137249,0.0021537052074769533,1.0,17.320188238356117
majority,165681,0.0019602179565189255,1.0,18.7316853229798
majority,200001,0.0017841218860982899,1.0,20.26310620551765
tribes,4,0.375,0.984375,0.7619047619047619
tribes,6,0.28125,0.9755859375,0.6691508017029909
tribes,9,0.19140625,0.8845062255859375,0.6143965140442257
tribes,12,0.11865234375,0.5852086544036865,0.6786755600754547
tribes,18,0.12822723388671875,0.9895123224123381,0.559375354682887
tribes,24,0.09052455425262451,0.8719302699855547,0.5434506265158549
tribes,36,0.05754778228583746,0.6433933369468352,0.622831100792523
tribes,44,0.06555755938109087,0.9997232232315436,0.5285039555335896
tribes,55,0.045498509792008035,0.8315276751494917,0.5205388665099576
tribes,88,0.03223345194003942,0.7332295878077455,0.5989012270944285
tribes,110,0.032086773096048495,0.99997180353868,0.5204921598558293
tribes,132,0.022450297816114753,0.8282985287344711,0.5078851350590124
tribes,220,0.01595819561961817,0.744676017272252,0.6058757994161321
tribes,264,0.015876499969015776,0.999999951820607,0.5210331731102896
tribes,308,0.011151963318680935,0.8266948582895806,0.5025972275038496
tribes,528,0.007939992414883976,0.7502194739477215,0.6178544769462754
tribes,623,0.007835561815060068,0.9999761499676845,0.5258671740653817
tribes,704,0.005557874628515024,0.825895736174089,0.5008309266841102
tribes,1246,0.0038986478388093404,0.7451045418294628,0.634002940131133
tribes,1416,0.00392308657103237,0.9999998501724696,0.5306936137695233
tribes,1602,0.0027636068839506775,0.8300885897593924,0.5010047065338409
tribes,2832,0.001962302551086351,0.7503870006414891,0.6458046524522706
tribes,3195,0.0019552058903090108,0.9999992082736632,0.5366004371861296
tribes,3550,0.0013820371669941134,0.8287496789523237,0.5019704903994359
tribes,6390,0.0009767330837790076,0.7491098147890496,0.6590664699164561
tribes,7100,0.0009769786728825182,0.9999996965999262,0.5421889763445047
tribes,7810,0.0006907395251334264,0.8286505238614067,0.5034521879309518
tribes,14200,0.00048822026789721714,0.7494490308258743,0.6706320653937006
tribes,15620,0.000488333437233718,0.9999998544928592,0.5475350588368806
tribes,17040,0.0003453000428704287,0.8286009566274424,0.5051720808162609
tribes,31240,0.00024407358024962928,0.7496184733193494,0.6812390167845189
tribes,34068,0.0002441873809537432,0.9999999972253449,0.5525308242818383
tribes,36907,0.00017265367300643922,0.8284331943936033,0.5069854484409897
tribes,68136,0.00012208725919240682,0.7499473236183971,0.6908366234965401
tribes,73814,0.00012208395048210743,0.9999999998926372,0.5572423819352404
tribes,79492,8.632248027139147e-05,0.8284208022041089,0.5088401430848588
tribes,147628,6.104134274845847e-05,0.7499896383452616,0.6997237493450797
tribes,158998,6.103581501368115e-05,0.999999997475678,0.5616511156609357
tribes,170340,4.3160151165326296e-05,0.8284146062705956,0.510682077913171
tribes,317996,3.0516374206879043e-05,0.7499497561071042,0.7079104530672903
tribes,340695,3.051823028866422e-05,0.9999999999163117,0.5657492584840633
tribes,363408,2.1579474069350837e-05,0.8284293857136862,0.5124883677763828
tribes,681390,1.5258975551942643e-05,0.749990851826817,0.7154075149027863
tribes,726816,1.5258963001114885e-05,0.9999999999851026,0.5695817922395364
tribes,1453632,7.629452052880334e-06,0.7499961402706152,0.722345286036822
